alias,code,vendor_type,vendor_code
鞍山市,CHN021003000,didi,64
安庆市,CHN034008000,didi,149
安阳市,CHN041005000,didi,174
阿拉善盟,CHN015029000,didi,202
安顺市,CHN052004000,didi,294
阿里地区,CHN054025000,didi,316
安康市,CHN061009000,didi,320
阿克苏地区,CHN065029001,didi,348
阿勒泰地区,CHN065043000,didi,355
阿拉尔市,CHN065092000,didi,356
北京市,CHN011000000,didi,1
保定市,CHN013006000,didi,62
包头市,CHN015002000,didi,63
本溪市,CHN021005000,didi,77
蚌埠市,CHN034003000,didi,100
北海市,CHN045005000,didi,161
滨州市,CHN037016000,didi,166
宝鸡市,CHN061003000,didi,170
亳州市,CHN034016000,didi,189
巴彦淖尔市,CHN015008000,didi,199
白山市,CHN022006000,didi,208
白城市,CHN022008000,didi,210
百色市,CHN045010000,didi,263
白沙黎族自治县,CHN046A30000,didi,278
巴中市,CHN051019000,didi,288
毕节地区,CHN052024000,didi,296
保山市,CHN053005000,didi,301
白银市,CHN062004000,didi,323
巴音郭楞州,CHN065028000,didi,350
博尔塔拉州,CHN065027000,didi,352
保亭黎族苗族自治县,CHN046A35000,didi,364
成都市,CHN051001000,didi,17
重庆市,CHN050000000,didi,18
长沙市,CHN043001000,didi,24
长春市,CHN022001000,didi,25
常州市,CHN032004000,didi,45
沧州市,CHN013009000,didi,59
承德市,CHN013008000,didi,72
常德市,CHN043007000,didi,106
郴州市,CHN043010000,didi,107
长治市,CHN014004000,didi,127
滁州市,CHN034011000,didi,148
池州市,CHN034017000,didi,187
赤峰市,CHN015004000,didi,196
巢湖市,CHN034001025,didi,204
朝阳市,CHN011005000,didi,205
潮州市,CHN044051000,didi,257
崇左市,CHN045014000,didi,267
澄迈县,CHN046A27000,didi,274
楚雄州,CHN053023000,didi,308
昌都地区,CHN054021000,didi,313
昌吉州,CHN065023000,didi,351
昌江黎族自治县,CHN046A31000,didi,363
台湾中部,CHN071004000,didi,886500200
大连市,CHN021002000,didi,14
东莞市,CHN044019000,didi,21
大庆市,CHN023006000,didi,48
东营市,CHN037005000,didi,73
德州市,CHN037014000,didi,120
大同市,CHN014002000,didi,125
大理州,CHN053029000,didi,136
丹东市,CHN021006000,didi,163
德阳市,CHN051006000,didi,173
大兴安岭地区,CHN023027000,didi,218
儋州市,CHN046093000,didi,270
东方市,CHN046097000,didi,273
定安县,CHN046A25000,didi,275
达州市,CHN051017000,didi,285
德宏州,CHN053031000,didi,309
迪庆州,CHN053034000,didi,311
定西市,CHN062011000,didi,330
鄂尔多斯市,CHN015006000,didi,43
鄂州市,CHN042007000,didi,230
恩施州,CHN042028000,didi,235
台湾东部,CHN071022000,didi,886500400
福州市,CHN035001000,didi,34
佛山市,CHN044006000,didi,36
抚顺市,CHN021004000,didi,66
阜新市,CHN021009000,didi,164
阜阳市,CHN034012000,didi,188
抚州市,CHN036010000,didi,223
防城港市,CHN045006000,didi,260
广州市,CHN044001000,didi,3
贵阳市,CHN052001000,didi,82
赣州市,CHN036007000,didi,102
桂林市,CHN045003000,didi,135
贵港市,CHN045008000,didi,262
广元市,CHN051008000,didi,280
广安市,CHN051016000,didi,284
甘孜州,CHN051033000,didi,291
甘南州,CHN062030000,didi,333
固原市,CHN064004000,didi,336
果洛州,CHN063026000,didi,342
杭州市,CHN033001000,didi,5
合肥市,CHN034001000,didi,15
哈尔滨市,CHN023001000,didi,16
呼和浩特市,CHN015001000,didi,41
邯郸市,CHN013004000,didi,60
葫芦岛市,CHN021014000,didi,70
衡水市,CHN013011000,didi,80
海口市,CHN046001000,didi,83
湖州市,CHN033005000,didi,90
淮安市,CHN032008000,didi,97
衡阳市,CHN043004000,didi,105
汉中市,CHN061007000,didi,115
菏泽市,CHN037017000,didi,124
惠州市,CHN044013000,didi,133
黄山市,CHN034010000,didi,141
淮南市,CHN034004000,didi,150
淮北市,CHN034006000,didi,183
呼伦贝尔市,CHN015007000,didi,198
兴安盟,CHN015022000,didi,203
鹤岗市,CHN023004000,didi,212
黑河市,CHN023011000,didi,217
黄石市,CHN042002000,didi,227
黄冈市,CHN042011000,didi,232
怀化市,CHN043012000,didi,244
鹤壁市,CHN041006000,didi,247
河源市,CHN044016000,didi,254
贺州市,CHN045011000,didi,264
河池市,CHN045012000,didi,265
红河州,CHN053025000,didi,306
海东地区,CHN063021000,didi,338
海北州,CHN063022000,didi,339
黄南州,CHN063023000,didi,340
海南州,CHN063025000,didi,341
海西州,CHN063028000,didi,344
哈密地区,CHN065022000,didi,346
和田地区,CHN065032000,didi,347
香港,CHN081000000,didi,357
台湾新竹苗栗,CHN071006000,didi,886500600
伊犁州,CHN065040000,didi,353
济南市,CHN037001000,didi,12
锦州市,CHN021007000,didi,68
晋中市,CHN014007000,didi,71
吉林市,CHN022002000,didi,74
济宁市,CHN037008000,didi,79
金华市,CHN033007000,didi,86
嘉兴市,CHN033004000,didi,88
九江市,CHN036004000,didi,101
荆州市,CHN042010000,didi,109
景德镇市,CHN036002000,didi,151
江门市,CHN044007000,didi,153
揭阳市,CHN044052000,didi,154
焦作市,CHN041008000,didi,175
晋城市,CHN014005000,didi,190
鸡西市,CHN023003000,didi,211
佳木斯市,CHN023008000,didi,215
吉安市,CHN036008000,didi,221
荆门市,CHN042008000,didi,229
济源市,CHN041018000,didi,252
金昌市,CHN062003000,didi,322
嘉峪关市,CHN062002000,didi,324
酒泉市,CHN062009000,didi,328
昆明市,CHN053001000,didi,19
开封市,CHN041002000,didi,110
喀什地区,CHN065031000,didi,179
克拉玛依市,CHN065002000,didi,180
克孜勒苏柯州,CHN065030000,didi,349
洛阳市,CHN041003000,didi,27
兰州市,CHN062001000,didi,30
廊坊市,CHN013010000,didi,46
临沂市,CHN037013000,didi,58
辽阳市,CHN021010000,didi,75
连云港市,CHN032007000,didi,96
泸州市,CHN051005000,didi,117
莱芜市,CHN037012000,didi,122
聊城市,CHN037015000,didi,123
柳州市,CHN045002000,didi,134
丽江市,CHN053007000,didi,137
丽水市,CHN033011000,didi,139
拉萨市,CHN054001000,didi,178
六安市,CHN034015000,didi,186
临汾市,CHN014010000,didi,193
吕梁市,CHN014011000,didi,194
辽源市,CHN022004000,didi,206
龙岩市,CHN035008000,didi,226
娄底市,CHN043013000,didi,245
漯河市,CHN041011000,didi,248
来宾市,CHN045013000,didi,266
临高县,CHN046A28000,didi,277
乐山市,CHN051011000,didi,283
凉山州,CHN051034000,didi,292
六盘水市,CHN052002000,didi,293
临沧市,CHN053009000,didi,304
林芝地区,CHN054026000,didi,317
陇南市,CHN062012000,didi,331
临夏州,CHN062029000,didi,332
陵水黎族自治县,CHN046A34000,didi,360
乐东黎族自治县,CHN046A33000,didi,362
绵阳市,CHN051007000,didi,50
马鞍山市,CHN034005000,didi,99
牡丹江市,CHN023010000,didi,129
茂名市,CHN044009000,didi,155
梅州市,CHN044014000,didi,156
眉山市,CHN051014000,didi,286
南京市,CHN032001000,didi,11
宁波市,CHN033002000,didi,20
南宁市,CHN045001000,didi,33
南昌市,CHN036001000,didi,38
南充市,CHN051013000,didi,53
南通市,CHN032006000,didi,92
南阳市,CHN041013000,didi,113
宁德市,CHN035009000,didi,144
南平市,CHN035007000,didi,145
内江市,CHN051010000,didi,282
阿坝州,CHN051032000,didi,290
怒江州,CHN053033000,didi,310
那曲地区,CHN054024000,didi,312
台湾北部,CHN071001000,didi,886500100
平顶山市,CHN041004000,didi,103
攀枝花市,CHN051004000,didi,119
莆田市,CHN035003000,didi,143
盘锦市,CHN021011000,didi,165
濮阳市,CHN041009000,didi,176
萍乡市,CHN036003000,didi,219
普洱市,CHN053008000,didi,303
平凉市,CHN062008000,didi,327
台湾澎湖,CHN071021000,didi,886500700
青岛市,CHN037002000,didi,13
泉州市,CHN035005000,didi,35
秦皇岛市,CHN013003000,didi,61
齐齐哈尔市,CHN023002000,didi,65
曲靖市,CHN053003000,didi,138
衢州市,CHN033008000,didi,140
清远市,CHN044018000,didi,157
七台河市,CHN023009000,didi,216
潜江市,CHN042095000,didi,238
钦州市,CHN045007000,didi,261
琼海市,CHN046092000,didi,269
黔西南州,CHN052023000,didi,297
黔东南州,CHN052026000,didi,298
黔南州,CHN052027000,didi,299
庆阳市,CHN062010000,didi,329
琼中黎族苗族自治县,CHN046A36000,didi,365
日照市,CHN037011000,didi,167
深圳市,CHN044003000,didi,2
上海市,CHN031000000,didi,4
沈阳市,CHN021001000,didi,8
石家庄市,CHN013001000,didi,22
苏州市,CHN032005000,didi,23
三亚市,CHN046002000,didi,37
绍兴市,CHN033006000,didi,89
绥化市,CHN023012000,didi,128
四平市,CHN022003000,didi,130
宿迁市,CHN032013000,didi,147
汕头市,CHN044005000,didi,158
商丘市,CHN041014000,didi,177
石河子市,CHN065091000,didi,181
宿州市,CHN034013000,didi,185
朔州市,CHN014006000,didi,191
松原市,CHN022007000,didi,209
双鸭山市,CHN023005000,didi,213
上饶市,CHN036011000,didi,224
三明市,CHN035004000,didi,225
十堰市,CHN042003000,didi,228
随州市,CHN042013000,didi,234
神农架林区,CHN042A21000,didi,239
邵阳市,CHN043005000,didi,240
三门峡市,CHN041012000,didi,249
韶关市,CHN044002000,didi,253
汕尾市,CHN044015000,didi,255
遂宁市,CHN051009000,didi,281
山南地区,CHN054022000,didi,314
日喀则地区,CHN054023000,didi,315
商洛市,CHN061010000,didi,321
石嘴山市,CHN064002000,didi,334
三沙市,CHN046003000,didi,361
台湾南部,CHN071005000,didi,886500300
天津市,CHN012000000,didi,7
太原市,CHN014001000,didi,26
唐山市,CHN013002000,didi,40
铁岭市,CHN021012000,didi,69
台州市,CHN033010000,didi,87
泰州市,CHN032012000,didi,95
泰安市,CHN037009000,didi,121
天水市,CHN062005000,didi,169
铜陵市,CHN034007000,didi,184
通辽市,CHN015005000,didi,197
通化市,CHN022005000,didi,207
天门市,CHN042096000,didi,237
屯昌县,CHN046A26000,didi,276
铜仁地区,CHN052022000,didi,295
铜川市,CHN061002000,didi,318
吐鲁番地区,CHN065021000,didi,345
塔城地区,CHN065042000,didi,354
乌鲁木齐市,CHN065001000,didi,52
武汉市,CHN042001000,didi,6
威海市,CHN037010000,didi,42
无锡市,CHN032002000,didi,47
潍坊市,CHN037007000,didi,81
温州市,CHN033003000,didi,85
芜湖市,CHN034002000,didi,98
乌海市,CHN015003000,didi,195
乌兰察布市,CHN015009000,didi,200
梧州市,CHN045004000,didi,259
五指山市,CHN046091000,didi,268
文昌市,CHN046095000,didi,271
万宁市,CHN046096000,didi,272
文山州,CHN053026000,didi,305
渭南市,CHN061005000,didi,319
武威市,CHN062006000,didi,325
吴忠市,CHN064003000,didi,335
西安市,CHN061001000,didi,10
西宁市,CHN063001000,didi,28
厦门市,CHN035002000,didi,32
徐州市,CHN032003000,didi,39
湘潭市,CHN043003000,didi,55
邢台市,CHN013005000,didi,67
襄阳市,CHN042006000,didi,108
新乡市,CHN041007000,didi,111
许昌市,CHN041010000,didi,112
咸阳市,CHN061004000,didi,116
新余市,CHN036005000,didi,152
宣城市,CHN034018000,didi,182
忻州市,CHN014009000,didi,192
锡林郭勒盟,CHN015025000,didi,201
孝感市,CHN042009000,didi,231
咸宁市,CHN042012000,didi,233
仙桃市,CHN042094000,didi,236
湘西州,CHN043031000,didi,246
信阳市,CHN041015000,didi,250
西双版纳州,CHN053028000,didi,307
烟台市,CHN037006000,didi,29
银川市,CHN064001000,didi,49
宜昌市,CHN042005000,didi,51
岳阳市,CHN043006000,didi,56
营口市,CHN021008000,didi,76
扬州市,CHN032010000,didi,91
盐城市,CHN032009000,didi,94
运城市,CHN014008000,didi,104
宜宾市,CHN051015000,didi,118
阳泉市,CHN014003000,didi,126
延吉市,CHN022024001,didi,131
玉林市,CHN045009000,didi,162
延安市,CHN061006000,didi,171
榆林市,CHN061008000,didi,172
伊春市,CHN023007000,didi,214
鹰潭市,CHN036006000,didi,220
宜春市,CHN036009000,didi,222
益阳市,CHN043009000,didi,242
永州市,CHN043011000,didi,243
阳江市,CHN044017000,didi,256
云浮市,CHN044053000,didi,258
雅安市,CHN051018000,didi,287
玉溪市,CHN053004000,didi,300
玉树州,CHN063027000,didi,343
台湾云林嘉义,CHN071016000,didi,886500500
郑州市,CHN041001000,didi,9
遵义市,CHN052003000,didi,44
株洲市,CHN043002000,didi,54
淄博市,CHN037003000,didi,57
张家口市,CHN013007000,didi,78
珠海市,CHN044004000,didi,84
镇江市,CHN032011000,didi,93
周口市,CHN041016000,didi,114
中山市,CHN044020000,didi,132
漳州市,CHN035006000,didi,142
舟山市,CHN033009000,didi,146
湛江市,CHN044008000,didi,159
肇庆市,CHN044012000,didi,160
枣庄市,CHN037004000,didi,168
张家界市,CHN043008000,didi,241
驻马店市,CHN041017000,didi,251
自贡市,CHN051003000,didi,279
资阳市,CHN051020000,didi,289
昭通市,CHN053006000,didi,302
张掖市,CHN062007000,didi,326
中卫市,CHN064005000,didi,337